City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Esperance,AU,-33.87,121.9,69.8,88,99,11.41,overcast clouds
198,Nenjiang,CN,49.18,125.22,20.88,94,100,13.71,overcast clouds
199,Mar Del Plata,AR,-38.0,-57.56,60.01,76,0,3.36,clear sky
200,Sungairaya,ID,0.7,108.9,82.04,80,100,2.17,overcast clouds
201,Tuktoyaktuk,CA,69.45,-133.04,12.2,92,90,10.29,light snow
202,Sao Filipe,CV,14.9,-24.5,78.94,75,100,7.9,overcast clouds
203,Vulcan,RO,45.38,23.27,40.06,65,100,3.78,overcast clouds
204,Abu Samrah,SY,35.3,37.18,57.76,81,100,1.34,overcast clouds
205,San Patricio,US,28.02,-97.52,71.6,60,20,8.05,few clouds
206,Veraval,IN,20.9,70.37,78.6,37,0,13.33,clear sky
207,Klaksvik,FO,62.23,-6.59,44.6,93,3,8.05,light rain
208,Aswan,EG,24.09,32.91,69.6,54,17,7.43,few clouds
209,Burnie,AU,-41.07,145.92,61.0,65,95,8.01,overcast clouds
210,Broome,US,42.25,-75.83,37.99,93,90,8.05,overcast clouds
211,Longyearbyen,SJ,78.22,15.64,35.6,69,0,33.33,clear sky
212,Pimentel,PE,-6.84,-79.93,62.6,77,0,17.22,clear sky
213,Haines Junction,CA,60.75,-137.51,10.4,78,100,4.7,overcast clouds
214,Beihai,CN,21.48,109.1,74.08,82,42,11.79,scattered clouds
215,Lerwick,GB,60.15,-1.15,50.0,81,96,35.57,light rain
216,Buin,CL,-33.73,-70.75,66.99,55,0,11.41,clear sky
217,Padang,ID,-0.95,100.35,81.37,68,99,1.83,moderate rain
218,Novyy Urengoy,RU,66.08,76.63,26.83,98,100,18.79,light snow
219,Zhigansk,RU,66.77,123.37,0.1,91,99,20.51,overcast clouds
220,Ilo,PE,-17.64,-71.34,63.99,80,96,5.17,overcast clouds
221,Mwinilunga,ZM,-11.74,24.43,67.12,42,100,1.66,overcast clouds
222,Saint-Francois,FR,46.42,3.91,64.0,77,0,4.7,clear sky
